M_nr,Kurs,Geschlecht,Vegetarier,Obst,Salat,Nachschlag,Mensa_Wahrscheinlichkeit
10065,KA-GTPA22B2,m,False,0.9637191320118078,0.036280867988192245,0.14,0.83
10066,KA-GTPA22B2,m,False,0.1779563362705353,0.8220436637294646,0.16,0.67
10067,KA-GTPA22B2,m,False,0.25578221312460186,0.7442177868753981,0.38,0.85
10068,KA-GTPA22B2,w,False,0.7689211778300636,0.23107882216993642,0.24,0.67
10069,KA-GTPA22B2,m,False,0.721794657287383,0.27820534271261715,0.15,0.84
10070,KA-GTPA22B2,m,True,0.7697114385353929,0.23028856146460708,0.27,0.7
10071,KA-GTPA22B2,m,False,0.7297884155923714,0.27021158440762866,0.13,0.88
10072,KA-GTPA22B2,w,False,0.2946682479208508,0.7053317520791491,0.12,0.77
10073,KA-GTPA22B2,m,False,0.06426038042171214,0.9357396195782879,0.2,0.93
10074,KA-GTPA22B2,w,True,0.058122597113249665,0.9418774028867504,0.21,0.57
10075,KA-GTPA22B2,m,False,0.8392034116941128,0.1607965883058872,0.33,0.88
10076,KA-GTPA22B2,m,False,0.5535476067969775,0.44645239320302255,0.37,0.93
10077,KA-GTPA22B2,w,True,0.43915429230046277,0.5608457076995372,0.05,0.67
10078,KA-GTPA22B2,w,False,0.4769570484232216,0.5230429515767783,0.04,0.66
10079,KA-GTPA22B2,w,False,0.6824960353084876,0.31750396469151243,0.3,0.92
10080,KA-GTPA22B2,w,False,0.06531061761186426,0.9346893823881358,0.12,0.62
10081,KA-GTPA22B2,w,False,0.07261178637643796,0.927388213623562,0.0,0.79
10082,KA-GTPA22B2,w,False,0.1795121207085651,0.8204878792914349,0.25,0.91
10083,KA-GTPA22B2,w,False,0.46110756228636557,0.5388924377136344,0.32,0.85
10084,KA-GTPA22B2,m,False,0.14976510226598122,0.8502348977340187,0.4,0.8
10085,KA-GTPA22B2,w,False,0.2451677187227466,0.7548322812772534,0.1,0.9
10086,KA-GTPA22B2,m,False,0.2736327720500874,0.7263672279499125,0.33,0.83
10087,KA-GTPA22B2,m,False,0.617185570796595,0.38281442920340514,0.4,0.86
10088,KA-GWAG22B1,w,False,0.6805788052387179,0.3194211947612821,0.16,0.92
10089,KA-GWAG22B1,m,False,0.7759126448994034,0.2240873551005968,0.22,0.86
10090,KA-GWAG22B1,w,False,0.18424343770536955,0.8157565622946304,0.07,0.76
10091,KA-GWAG22B1,m,False,0.10281811140135792,0.8971818885986421,0.39,0.62
10092,KA-GWAG22B1,w,True,0.5366726503979933,0.4633273496020067,0.05,0.8
10093,KA-GWAG22B1,w,False,0.36186258190897524,0.638137418091025,0.05,0.77
10094,KA-GWAG22B1,m,False,0.6188007585744385,0.3811992414255615,0.32,0.76
10095,KA-GWAG22B1,m,False,0.13877901990198482,0.8612209800980152,0.14,0.95
10096,KA-GWAG22B1,w,False,0.21430948692117555,0.7856905130788244,0.26,0.8
10097,KA-GWAG22B1,w,True,0.4114083519269292,0.5885916480730707,0.11,0.79
10098,KA-GWAG22B1,m,True,0.9291506370815358,0.07084936291846425,0.31,0.77
10099,KA-GWAG22B1,w,True,0.2793504058347381,0.7206495941652619,0.21,0.92
10100,KA-GWAG22B1,w,False,0.7310762216918664,0.2689237783081336,0.17,0.78
10101,KA-GWAG22B1,m,True,0.4118915604814763,0.5881084395185239,0.21,0.83
10102,KA-GWAG22B1,w,True,0.43391287916875193,0.5660871208312481,0.19,0.65
10103,KA-GWAG22B1,w,True,0.7932474954138484,0.2067525045861516,0.27,0.81
10104,KA-GWAG22B1,m,False,0.5101728688697861,0.4898271311302138,0.39,0.84
10105,KA-GWAG22B1,w,False,0.09564473106320553,0.9043552689367945,0.1,0.82
10106,KA-GWAG22B1,w,False,0.6973184669759132,0.3026815330240869,0.08,0.67
10107,KA-GWAG22B1,w,False,0.46959555692250354,0.5304044430774966,0.08,0.66
10108,KA-GWAG22B1,m,False,0.3516235042553217,0.6483764957446784,0.35,0.72
10109,KA-GWAG22B1,w,False,0.6971067683681195,0.30289323163188053,0.21,0.85
10110,KA-GWAG22B1,w,True,0.8601110644906892,0.1398889355093108,0.2,0.7
10111,KA-GWAG22B1,w,True,0.2867338860491892,0.7132661139508107,0.07,0.71
10112,KA-GWAG22B1,w,False,0.04361727436846597,0.956382725631534,0.25,0.7
10113,KA-GWAG22B1,w,False,0.041728483122848735,0.9582715168771514,0.02,0.77
10114,KA-GWAG22B1,m,False,0.7330426343893222,0.26695736561067795,0.32,1.0
10115,KA-GWAG22B1,w,False,0.8208390839677919,0.1791609160322081,0.0,0.86
10116,KA-GWAG22B1,m,False,0.47083644704139255,0.5291635529586075,0.29,0.85
10117,KA-GWAG22B1,m,False,0.002367069543628459,0.9976329304563714,0.35,0.76
10118,KA-GWAG22B1,w,False,0.8972370063340832,0.10276299366591679,0.15,0.82
10119,KA-GWAG22B1,m,False,0.5905723146392774,0.4094276853607226,0.32,0.91
10120,KA-GWAG23B1,m,True,0.8911411199908417,0.10885888000915828,0.23,0.82
10121,KA-GWAG23B1,m,False,0.61127069850172,0.38872930149828,0.26,0.86
10122,KA-GWAG23B1,m,False,0.7921073710931228,0.20789262890687704,0.42,0.99
10123,KA-GWAG23B1,m,True,0.21512993417436077,0.7848700658256391,0.37,0.8
10124,KA-GWAG23B1,m,False,0.23206232217140055,0.7679376778285996,0.31,0.96
10125,KA-GWAG23B1,w,False,0.4674994966836259,0.532500503316374,0.1,0.7
10126,KA-GWAG23B1,m,False,0.3623729794268732,0.6376270205731269,0.1,0.82
10127,KA-GWAG23B1,w,True,0.03919492059821187,0.9608050794017882,0.27,0.88
10128,KA-GWAG23B1,w,False,0.6943398533279794,0.3056601466720205,0.02,0.84
10129,KA-GWAG23B1,m,False,0.25724506508557166,0.7427549349144283,0.22,0.86
10130,KA-GWAG23B1,m,False,0.758994987624646,0.24100501237535396,0.27,0.88
10131,KA-GWAG23B1,m,False,0.06623262922935105,0.933767370770649,0.42,0.82
10132,KA-GWAG23B1,w,False,0.48081343746925714,0.5191865625307429,0.14,0.85
10133,KA-GWAG23B1,m,True,0.7989479215527764,0.20105207844722356,0.3,0.75
10134,KA-GWAG23B1,m,False,0.25640222965895587,0.743597770341044,0.11,0.9
10135,KA-GWAG23B1,w,True,0.4828441810354327,0.5171558189645673,0.0,0.85
10136,KA-GWAG23B1,w,False,0.8403060129193833,0.15969398708061655,0.18,0.7
10137,KA-GWAG23B1,m,False,0.5054410350594027,0.4945589649405973,0.43,0.96
10138,KA-GWAG23B1,w,False,0.3149267435847834,0.6850732564152164,0.16,0.66
10139,KA-GWAG23B1,m,False,0.2529910412984788,0.7470089587015211,0.3,0.91
10140,KA-GWAG23B1,w,True,0.1017473544420302,0.8982526455579698,0.05,0.72
10141,KA-GWAH22B1,m,False,0.22805821959061714,0.7719417804093829,0.28,0.91
10142,KA-GWAH22B1,m,False,0.42231198439184475,0.5776880156081553,0.35,0.8
10143,KA-GWAH22B1,w,False,0.6927749539145164,0.30722504608548346,0.13,0.85
10144,KA-GWAH22B1,w,False,0.18136129706748913,0.8186387029325108,0.32,0.63
10145,KA-GWAH22B1,m,True,0.6806311800713821,0.3193688199286178,0.36,0.92
10146,KA-GWAH22B1,m,False,0.5787007118360938,0.4212992881639061,0.54,0.89
10147,KA-GWAH22B1,m,False,0.1288124668104725,0.8711875331895275,0.3,0.94
10148,KA-GWAH22B1,w,False,0.5716914242664486,0.4283085757335514,0.06,0.62
10149,KA-GWAH22B1,w,True,0.6463320155520559,0.35366798444794406,0.0,0.57
10150,KA-GWAH22B1,w,False,0.2330642746001162,0.7669357253998837,0.27,0.62
10151,KA-GWAH22B1,m,False,0.3736970680575739,0.6263029319424261,0.6,0.86
10152,KA-GWAH22B1,w,False,0.0030373786772429734,0.996962621322757,0.07,0.67
10153,KA-GWAH22B1,m,False,0.6651789320837885,0.33482106791621136,0.06,0.91
10154,KA-GWAH22B1,m,False,0.7277725211914144,0.2722274788085856,0.27,0.8
10155,KA-GWAH22B1,m,False,0.20430515969739865,0.7956948403026013,0.33,0.92
10156,KA-GWAH22B1,w,False,0.4843757938273314,0.5156242061726686,0.04,0.76
10157,KA-GWAH22B1,m,False,0.9219700276491769,0.07802997235082301,0.37,0.72
10158,KA-GWAH22B1,m,False,0.18298856217290074,0.8170114378270993,0.31,0.82
10159,KA-GWAH22B1,m,False,0.5345341888217214,0.46546581117827857,0.32,0.78
10160,KA-GWAH22B1,w,False,0.8596883307927867,0.14031166920721322,0.0,0.63
10161,KA-GWAH22B1,w,True,0.4407406031483481,0.5592593968516519,0.24,0.82
10162,KA-GWAH22B1,w,False,0.23574981126953654,0.7642501887304635,0.12,0.75
10163,KA-GWAH22B1,w,False,0.7709887288802244,0.22901127111977562,0.1,0.55
10164,KA-GWAH22B1,m,True,0.2311325972650247,0.7688674027349753,0.28,1.0
10165,KA-GWAH22B1,w,False,0.08480092251658206,0.9151990774834179,0.12,0.75
10166,KA-GWAH22B1,w,False,0.6507658865366818,0.3492341134633183,0.02,0.76
10167,KA-GWAH22B1,w,False,0.18424687810795823,0.8157531218920417,0.2,0.94
10168,KA-GWAH22B1,m,False,0.04500230838435466,0.9549976916156454,0.43,0.92
10169,KA-GWAH22B1,w,True,0.48052173012559357,0.5194782698744066,0.14,0.77
10170,KA-GWAH22B1,m,False,0.4753629512883642,0.5246370487116359,0.46,0.74
10171,KA-GWAH22B1,w,False,0.861954740775267,0.1380452592247329,0.22,0.57
10172,KA-GWAH22B1,m,False,0.02698842989738751,0.9730115701026125,0.25,0.71
10173,KA-GWAH22B1,w,False,0.9095191474658886,0.09048085253411135,0.0,0.77
10174,KA-GWAH22B1,m,False,0.5449621144092694,0.45503788559073044,0.39,0.68
10175,KA-GWAH23B1,w,False,0.47014438775949685,0.5298556122405031,0.28,0.77
10176,KA-GWAH23B1,w,False,0.594460538769425,0.40553946123057505,0.26,0.81
10177,KA-GWAH23B1,w,False,0.584615364300901,0.41538463569909906,0.31,1.0
10178,KA-GWAH23B1,w,False,0.4105937807633158,0.5894062192366842,0.0,0.7
10179,KA-GWAH23B1,w,False,0.9118711232508111,0.08812887674918891,0.15,0.68
10180,KA-GWAH23B1,w,True,0.4591256792874047,0.5408743207125953,0.0,0.8
10181,KA-GWAH23B1,m,False,0.6156330090339799,0.38436699096602006,0.3,0.74
10182,KA-GWAH23B1,m,False,0.2950098093834219,0.7049901906165781,0.25,0.77
10183,KA-GWAH23B1,m,False,0.9576077446547172,0.04239225534528284,0.32,0.75
10184,KA-GWAH23B1,m,False,0.5749018586618789,0.42509814133812096,0.31,0.8
10185,KA-GWAH23B1,w,False,0.49131864805818337,0.5086813519418166,0.12,0.93
10186,KA-GWAH23B1,m,False,0.014513290669670355,0.9854867093303296,0.31,0.93
10187,KA-GWAH23B1,m,False,0.9347795156831719,0.06522048431682813,0.38,0.83
10188,KA-GWAH23B1,w,False,0.6105207125779419,0.38947928742205806,0.1,0.82
10189,KA-GWAH23B1,w,False,0.9149768024555812,0.08502319754441874,0.29,0.72
10190,KA-GWAH23B1,w,False,0.48665396449539894,0.513346035504601,0.16,0.85
10191,KA-GWAH23B1,w,False,0.6262810309593859,0.3737189690406141,0.09,0.93
10192,KA-GWAH23B1,m,True,0.4284342167581925,0.5715657832418075,0.18,0.92
10193,KA-GWAH23B1,w,False,0.23253272595142865,0.7674672740485713,0.01,0.67
10194,KA-GWAH23B1,w,True,0.9307838284152111,0.06921617158478874,0.21,0.65
10195,KA-GWAH23B1,m,False,0.38097581486299104,0.619024185137009,0.31,0.74
10196,KA-GWAH23B1,w,True,0.618857839359899,0.3811421606401011,0.23,0.76
10197,KA-GWAH23B1,w,False,0.38322798475469744,0.6167720152453026,0.21,0.78
10198,KA-GWAH23B1,m,False,0.296182507933264,0.7038174920667358,0.27,0.81
10199,KA-GWAH24B1,w,False,0.1924413874438961,0.807558612556104,0.23,0.89
10200,KA-GWAH24B1,m,False,0.4858136629365871,0.514186337063413,0.3,0.76
10201,KA-GWAH24B1,m,True,0.9274335998758568,0.07256640012414328,0.41,0.89
10202,KA-GWAH24B1,w,True,0.2752489997591321,0.7247510002408678,0.2,0.7
10203,KA-GWAH24B1,w,False,0.6493825978024083,0.3506174021975917,0.15,0.79
10204,KA-GWAH24B1,w,True,0.10237233450732527,0.8976276654926748,0.06,0.91
10205,KA-GWAH24B1,m,False,0.9864130531185673,0.01358694688143257,0.46,0.83
10206,KA-GWAH24B1,m,True,0.08194803038869317,0.918051969611307,0.17,1.0
10207,KA-GWAH24B1,m,False,0.2277094669540288,0.7722905330459712,0.44,0.78
10208,KA-GWAH24B1,m,False,0.6629123362369302,0.33708766376306964,0.26,0.75
10209,KA-GWAH24B1,m,False,0.8695107809384532,0.13048921906154673,0.23,0.88
10210,KA-GWAH24B1,w,True,0.4804349783249764,0.5195650216750236,0.17,0.77
10211,KA-GWAH24B1,m,False,0.7057262791488789,0.294273720851121,0.39,0.83
10212,KA-GWAH24B1,w,False,0.010921754976944325,0.9890782450230556,0.24,0.71
10213,KA-GWAH24B1,w,True,0.8641210491387309,0.13587895086126905,0.2,0.81
10214,KA-GWAH24B1,w,False,0.12263361233617916,0.8773663876638208,0.24,0.72
10215,KA-GWAH24B1,m,False,0.1939127942955993,0.8060872057044007,0.26,0.9
10216,KA-GWAH24B1,w,False,0.8908118617258379,0.109188138274162,0.13,0.78
10217,KA-GWAH24B1,w,False,0.9652425951900246,0.03475740480997548,0.13,0.73
10218,KA-GWAH24B1,w,False,0.971984167233797,0.028015832766203015,0.24,0.74
10219,KA-GWAH24B1,m,False,0.6882790807970456,0.3117209192029545,0.45,0.84
10220,KA-GWAH24B1,m,True,0.15489890472835718,0.8451010952716428,0.27,0.84
10221,KA-GWAH24B1,w,False,0.6999625627863354,0.30003743721366466,0.18,0.71
10222,KA-GWAH24B1,w,True,0.12192589695569656,0.8780741030443034,0.0,0.69
10223,KA-GWAH24B1,m,False,0.09837655333588621,0.9016234466641138,0.32,0.78
10224,KA-GWAH24B1,m,False,0.4711259865196683,0.5288740134803317,0.52,0.82
10225,KA-GWAH24B1,m,False,0.8539050298240609,0.14609497017593912,0.23,0.7
10226,KA-INTERNATIONAL-STUDENTS,w,False,0.3625335279299278,0.6374664720700722,0.23,0.85
10227,KA-INTERNATIONAL-STUDENTS,m,True,0.26366218021915167,0.7363378197808482,0.25,0.97
10228,KA-INTERNATIONAL-STUDENTS,w,False,0.20452974508724278,0.7954702549127572,0.1,0.77
10229,KA-INTERNATIONAL-STUDENTS,m,True,0.7092925023145457,0.29070749768545434,0.05,0.98
10230,KA-INTERNATIONAL-STUDENTS,w,False,0.509990343108377,0.4900096568916229,0.24,0.88
10231,KA-INTERNATIONAL-STUDENTS,w,False,0.6613919743069796,0.3386080256930204,0.1,0.52
10232,KA-INTERNATIONAL-STUDENTS,m,True,0.6121679849055421,0.38783201509445775,0.15,0.94
10233,KA-INTERNATIONAL-STUDENTS,m,False,0.21589563368494838,0.7841043663150516,0.22,0.8
10234,KA-INTERNATIONAL-STUDENTS,m,False,0.31591595995830374,0.6840840400416963,0.21,0.79
10235,KA-INTERNATIONAL-STUDENTS,m,False,0.626039637949723,0.37396036205027705,0.13,0.9
10236,KA-INTERNATIONAL-STUDENTS,w,False,0.7277805256676225,0.2722194743323774,0.3,0.7
10237,KA-INTERNATIONAL-STUDENTS,w,False,0.7420602549625155,0.2579397450374845,0.0,0.68
10238,KA-INTERNATIONAL-STUDENTS,m,False,0.3401704798728486,0.6598295201271513,0.21,0.75
10239,KA-INTERNATIONAL-STUDENTS,m,False,0.9216166859131317,0.07838331408686823,0.3,0.96
10240,KA-INTERNATIONAL-STUDENTS,m,False,0.24121062246575653,0.7587893775342435,0.42,0.61
10241,KA-INTERNATIONAL-STUDENTS,m,False,0.1168685718105925,0.8831314281894075,0.29,0.8
10242,KA-INTERNATIONAL-STUDENTS,w,True,0.8576417055033054,0.1423582944966945,0.19,0.72
10243,KA-INTERNATIONAL-STUDENTS,w,True,0.05935912311015555,0.9406408768898443,0.2,0.65
10244,KA-INTERNATIONAL-STUDENTS,m,False,0.18781154421395901,0.8121884557860409,0.0,0.74
10245,KA-INTERNATIONAL-STUDENTS,w,False,0.593865213299955,0.406134786700045,0.21,0.59
10246,KA-INTERNATIONAL-STUDENTS,w,True,0.5587498336274644,0.44125016637253545,0.19,0.82
10247,KA-INTERNATIONAL-STUDENTS,w,False,0.3877121359743688,0.6122878640256311,0.12,0.69
10248,KA-INTERNATIONAL-STUDENTS,m,False,0.7526172660074913,0.24738273399250868,0.26,0.97
10249,KA-INTERNATIONAL-STUDENTS,w,False,0.21992698734365757,0.7800730126563423,0.03,0.81
10250,KA-INTERNATIONAL-STUDENTS,m,False,0.7037351738335996,0.2962648261664003,0.3,0.96
10251,KA-INTERNATIONAL-STUDENTS,m,False,0.17060745178527806,0.8293925482147219,0.47,0.91
10252,KA-INTERNATIONAL-STUDENTS,w,False,0.5672241314347028,0.4327758685652972,0.0,0.63
10253,KA-INTERNATIONAL-STUDENTS,m,True,0.12547516978254827,0.8745248302174516,0.43,1.0
10254,KA-INTERNATIONAL-STUDENTS,m,False,0.7573997209312656,0.24260027906873435,0.35,0.85
10255,KA-INTERNATIONAL-STUDENTS,m,False,0.4844260842268933,0.5155739157731066,0.41,0.91
10256,KA-INTERNATIONAL-STUDENTS,m,False,0.1021196150270203,0.8978803849729797,0.48,0.69
10257,KA-TEI24B1,w,False,0.5520575181498923,0.44794248185010765,0.11,0.59
10258,KA-TEI24B1,w,False,0.24257601777799465,0.7574239822220055,0.23,0.77
10259,KA-TEI24B1,w,True,0.1701492296683509,0.829850770331649,0.26,0.81
10260,KA-TEI24B1,m,False,0.860092820418762,0.139907179581238,0.35,0.82
10261,KA-TEI24B1,m,True,0.22878772420419397,0.771212275795806,0.43,0.86
10262,KA-TEI24B1,w,False,0.35952747620630826,0.6404725237936918,0.29,0.69
10263,KA-TEI24B1,w,False,0.5533595953980749,0.4466404046019251,0.05,0.65
10264,KA-TEI24B1,m,True,0.9985673007982369,0.0014326992017631877,0.33,0.76
10265,KA-TEI24B1,w,False,0.0760868572235975,0.9239131427764026,0.0,0.87
10266,KA-TEI24B1,w,False,0.616110029282909,0.3838899707170909,0.13,0.74
10267,KA-TEI24B1,m,False,0.9966432824820566,0.0033567175179434155,0.43,0.88
10268,KA-TEI24B1,m,True,0.7528866772055479,0.2471133227944522,0.28,0.65
10269,KA-TEI24B1,m,False,0.3628223509098299,0.6371776490901702,0.5,0.9
10270,KA-TEI24B1,m,False,0.08322633147156012,0.9167736685284399,0.54,0.81
10271,KA-TEI24B1,m,False,0.09578771588149065,0.9042122841185094,0.32,0.77
10272,KA-TEI24B1,w,True,0.2713881218488357,0.7286118781511641,0.18,0.65
10273,KA-TEI24B1,w,False,0.8377415213594349,0.16225847864056508,0.15,0.6
10274,KA-TEI24B1,w,False,0.5609173041407857,0.4390826958592143,0.27,0.68
10275,KA-TEI24B1,w,False,0.9576262579362581,0.04237374206374182,0.08,0.71
10276,KA-TEI24B1,w,False,0.8563603748252975,0.14363962517470255,0.17,0.83
10277,KA-TEI24B1,w,False,0.45792571556893436,0.5420742844310655,0.0,0.75
10278,KA-TEI24B1,m,False,0.9577063546982018,0.0422936453017983,0.33,0.92
10279,KA-TEI24B1,m,False,0.22686337566969084,0.773136624330309,0.06,1.0
10280,KA-TEI24B1,m,False,0.7816619466414251,0.21833805335857487,0.09,0.94
10281,KA-TEI24B1,m,False,0.943228026475575,0.056771973524424896,0.14,0.77
10282,KA-TEI24B1,m,False,0.04228635641841208,0.957713643581588,0.51,0.92
10283,KA-TEI24B1,w,False,0.9200813799115803,0.07991862008841977,0.16,0.74
10284,KA-TEI24B1,w,False,0.9850945182328574,0.014905481767142695,0.2,0.66
10285,KA-TEI24B1,m,False,0.11423608287113661,0.8857639171288634,0.28,0.82
10286,KA-TEI24B1,m,False,0.4325101310571292,0.5674898689428708,0.43,0.96
10287,KA-TEI24B1,m,False,0.2455652613684058,0.7544347386315943,0.36,0.87
10288,KA-TEI24B2,m,True,0.015829857736780615,0.9841701422632194,0.32,0.7
10289,KA-TEI24B2,w,True,0.22266856065713406,0.7773314393428659,0.13,0.89
10290,KA-TEI24B2,w,True,0.8519671644846514,0.14803283551534863,0.13,0.85
10291,KA-TEI24B2,m,True,0.14259693315622346,0.8574030668437765,0.32,0.83
10292,KA-TEI24B2,w,True,0.30830052537131375,0.6916994746286863,0.28,0.84
10293,KA-TEI24B2,w,False,0.16744971032515654,0.8325502896748435,0.15,0.74
10294,KA-TEI24B2,w,False,0.38666083030201875,0.6133391696979812,0.07,0.79
10295,KA-TEI24B2,m,True,0.08769797550807266,0.9123020244919273,0.49,0.77
10296,KA-TEI24B2,m,True,0.7867801474758451,0.21321985252415487,0.3,0.77
10297,KA-TEI24B2,w,False,0.44901933455961907,0.5509806654403808,0.11,0.49
10298,KA-TEI24B2,m,False,0.6089914956528464,0.3910085043471536,0.2,0.82
10299,KA-TEI24B2,m,False,0.13237699698412186,0.8676230030158781,0.38,0.88
10300,KA-TEI24B2,m,False,0.8079072450149122,0.19209275498508782,0.38,0.94
10301,KA-TEI24B2,m,False,0.4662325379275356,0.5337674620724644,0.16,0.8
10302,KA-TEI24B2,m,False,0.9850172854182976,0.014982714581702384,0.27,0.97
10303,KA-TEI24B2,w,False,0.6824001841798931,0.31759981582010677,0.07,0.77
10304,KA-TEI24B2,w,False,0.3774879219966611,0.622512078003339,0.22,0.94
10305,KA-TEI24B2,m,True,0.45193915428426645,0.5480608457157334,0.36,0.68
10306,KA-TEI24B2,m,False,0.060064722065921165,0.9399352779340789,0.25,0.77
10307,KA-TEI24B2,m,False,0.08433162948688994,0.9156683705131101,0.24,1.0
10308,KA-TEI24B2,w,False,0.7373375656952599,0.26266243430474,0.19,0.69
10309,KA-TEI24B2,w,False,0.7478273703352862,0.2521726296647138,0.38,0.65
